Collector ID,ID,Site,Tree #,Cone,Cone Length (mm),# Seeds,Total Seed Weight (g) (Wing & Wingless),# Wingless Seed,Total Wingless Seed Weight (g),# Winged Seed,Total Winged Seed Weight (g),# sml immature Seed,Comments,Photo?
E,P19B,Pukaki,19,B,40,80,0.4341,,,,,,,
E,P19C,Pukaki,19,C,37,,,,,,,,,
E,P19D,Pukaki,19,D,44,96,0.439,,,,,2,,
E,P19E,Pukaki,19,E,45,92,0.5137,,,,,,,
E,P20A,Pukaki,20,A,49,,,,,,,,,
E,P20B,Pukaki,20,B,36,,,,,,,,,
E,P20C,Pukaki,20,C,46,,,,,,,,,
E,P20D,Pukaki,20,D,40,,,,,,,,,
E,P20E,Pukaki,20,E,44,,,,,,,,,
F,P21A,Pukaki,21,A,42,,,,,,,,,
F,P21B,Pukaki,21,B,41,40,0.2032,,,,,19,,
F,P21C,Pukaki,21,C,40,35,0.2189,,,,,30,,
F,P21D,Pukaki,21,D,44,37,0.2153,,,,,,,
F,P21E,Pukaki,21,E,39,,,,,,,,,
F,P22A,Pukaki,22,A,41,,,,,,,,,
F,P22B,Pukaki,22,B,37,,,,,,,,,
F,P22C,Pukaki,22,C,39,,,,,,,,,
F,P22D,Pukaki,22,D,35,,,,,,,,,
F,P22E,Pukaki,22,E,39,18,0.0872,,,,,22,dropped cone - lost seeds | P22C on the bag,
F,P23A,Pukaki,23,A,40,,,,,,,,,
F,P23B,Pukaki,23,B,43,,,,,,,,,
F,P23C,Pukaki,23,C,36,,,,,,,,,
F,P23D,Pukaki,23,D,45,,,,,,,,,
F,P23E,Pukaki,23,E,43,,,,,,,,,
F,P24A,Pukaki,24,A,45,36,0.1919,,,,,,P23F on the bag ,
F,P24B,Pukaki,24,B,42,46,0.2264,,,,,27,,
F,P24C,Pukaki,24,C,44,43,0.221,,,,,30,,
F,P24D,Pukaki,24,D,39,,,,,,,,,
F,P24E,Pukaki,24,E,41,37,0.2032,,,,,,dropped cone - may have lost seeds,
A,MD1A,Mid-Dome,1,A,52,140,0.6864,,,,,4,,y
A,MD1B,Mid-Dome,1,B,41,111,0.4649,,,,,5,,
A,MD1C,Mid-Dome,1,C,49,134,0.6757,,,,,5,,
A,MD1D,Mid-Dome,1,D,52,124,0.6579,,,,,9,,
A,MD1E,Mid-Dome,1,E,48,127,0.5369,,,,,15,,
A,MD2A,Mid-Dome,2,A,53,,,,,,,,cone didn't open,
A,MD2B,Mid-Dome,2,B,47,,,,,,,,cone didn't open,
A,MD2C,Mid-Dome,2,C,65,,,,,,,,cone didn't open,
A,MD2D,Mid-Dome,2,D,56,93,0.4235,,,,,,only partially open but mature seed under closed scales,
