year,collector_id,full_id,full_tree,site,Population,cone_id,serot,cone_length_mm,cone_x,cone_y,no_filled,no_unfilled,tot_seed_wgt_g,mism_g,seed_1_g,seed_2_g,seed_3_g,seed_4_g,seed_5_g,seed_6_g,seed_7_g,seed_8_g,seed_9_g,seed_10_g,no_scal,tot_scale_wt_g,mibm_g,scale_1_g,scale_2_g,scale_3_g,scale_4_g,scale_5_g,scale_6_g,scale_7_g,scale_8_g,scale_9_g,scale_10_g,no_immature
21/22,MS,H25B,H25,Hanmer,C,B,N,43,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,11
21/22,MS,H25C,H25,Hanmer,C,C,N,36,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,6
21/22,MS,H25D,H25,Hanmer,C,D,N,33,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,3
21/22,MS,H25E,H25,Hanmer,C,E,N,41,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,5
21/22,MS,H26A,H26,Hanmer,C,A,N,45,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H26B,H26,Hanmer,C,B,N,41,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H26C,H26,Hanmer,C,C,N,41,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,7
21/22,MS,H26D,H26,Hanmer,C,D,N,36,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H26E,H26,Hanmer,C,E,N,36,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H27A,H27,Hanmer,C,A,N,45,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,7
21/22,MS,H27B,H27,Hanmer,C,B,N,41,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,9
21/22,MS,H27C,H27,Hanmer,C,C,N,37,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,11
21/22,MS,H27D,H27,Hanmer,C,D,N,36,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,18
21/22,MS,H27E,H27,Hanmer,C,E,N,37,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,14
21/22,MS,H28A,H28,Hanmer,C,A,N,37,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H28B,H28,Hanmer,C,B,N,37,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,2
21/22,MS,H28C,H28,Hanmer,C,C,N,36,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,2
21/22,MS,H28D,H28,Hanmer,C,D,N,38,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H28E,H28,Hanmer,C,E,N,34,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,6
22/23,TC,HS1_1,HS1,Hanmer,C,1,Y,39.9,23.7,22,26,7,0.1283,0.004934615,0.0053,0.0048,0.0049,0.0057,0.0053,0.0057,0.0048,0.005,0.0037,0.0047,,,,,,,,,,,,,,
22/23,TC,HS2_2,HS2,Hanmer,C,2,Y,34.7,20.9,20.9,3,13,0.0135,0.0045,0.0056,0.0053,0.0012,,,,,,,,,,,,,,,,,,,,,
22/23,TC,HS3_3,HS3,Hanmer,C,3,Y,35.9,20.3,21.7,33,13,0.1414,0.004284848,0.005,0.0046,0.0049,0.0051,0.0046,0.0043,0.005,0.004,0.005,0.0019,,,,,,,,,,,,,,
22/23,TC,HS4_4,HS4,Hanmer,C,4,Y,26,21,21,47,10,0.168,0.003574468,0.0038,0.0036,0.0028,0.0032,0.0031,0.001,0.0036,0.0034,0.0031,0.0028,,,,,,,,,,,,,,
22/23,TC,PS5_5,PS5,Pukaki,B,5,Y,,,,13,5,0.041,0.003153846,0.0031,0.0037,0.0041,0.004,0.003,0.0031,0.0037,0.0043,0.0031,0.0006,,,,,,,,,,,,,,
22/23,TC,PS6_6,PS6,Pukaki,B,6,Y,34,17,16,23,11,0.1336,0.005808696,0.0055,0.0048,0.0051,0.0053,0.0056,0.0065,0.0061,0.0055,0.0057,0.0058,,,,,,,,,,,,,,
22/23,TC,MS7_7,MS7,Mid-Dome,B,7,Y,51,25,23,30,41,0.1761,0.00587,0.0023,0.0062,0.0062,0.0052,0.0056,0.0059,0.0056,0.0054,0.0059,0.006,,,,,,,,,,,,,,
22/23,TC,MS8_8,MS8,Mid-Dome,B,8,Y,60,25,24,35,65,0.2518,0.007194286,0.007,0.0065,0.0072,0.007,0.006,0.0062,0.0054,0.0081,0.0082,0.0074,,,,,,,,,,,,,,
22/23,TC,MS9_9,MS9,Mid-Dome,B,9,Y,52,25,26,35,42,0.1539,0.004397143,0.006,0.0045,0.0037,0.0045,0.0015,0.0043,0.0043,0.0014,0.0048,0.002,,,,,,,,,,,,,,
22/23,TC,MS10_10,MS10,Mid-Dome,B,10,Y,56,26,24,38,38,0.2371,0.006239474,0.007,0.0023,0.0065,0.0072,0.0063,0.0072,0.0066,0.0069,0.0058,0.0023,,,,,,,,,,,,,,
22/23,TC,MS11_11,MS11,Mid-Dome,B,11,Y,47,26,25,26,45,0.1576,0.006061538,0.0065,0.006,0.0056,0.0021,0.005,0.0061,0.0066,0.0051,0.0055,0.0061,,,,,,,,,,,,,,
22/23,TC,MS12_12,MS12,Mid-Dome,B,12,Y,62,25,24,52,51,0.3265,0.006278846,0.0067,0.0074,0.0063,0.0068,0.0069,0.005,0.0048,0.0067,0.0057,0.0059,,,,,,,,,,,,,,
22/23,TC,MS13_13,MS13,Mid-Dome,B,13,Y,50,24,25,34,30,0.1808,0.005317647,0.0059,0.0058,0.005,0.0052,0.002,0.007,0.0016,0.0022,0.0013,0.0059,,,,,,,,,,,,,,
22/23,TC,MS14_14,MS14,Mid-Dome,B,14,Y,56,25,26,46,37,0.2848,0.006191304,0.0065,0.0047,0.0018,0.0051,0.0056,0.0057,0.0064,0.0018,0.0043,0.0011,,,,,,,,,,,,,,
22/23,TC,MS15_15,MS15,Mid-Dome,B,15,Y,53,24,24,24,45,0.1545,0.0064375,0.0063,0.0052,0.0058,0.0057,0.0059,0.0051,0.0015,0.0041,0.0054,0.0046,,,,,,,,,,,,,,
22/23,TC,MS16_16,MS16,Mid-Dome,B,16,Y,56,25,24,43,40,0.2319,0.005393023,0.0062,0.003,0.0049,0.0049,0.0006,0.0041,0.0052,0.0053,0.0049,0.0048,,,,,,,,,,,,,,
22/23,TC,FS17_17,FS17,Flockhill,A,17,Y,45,21,23,56,9,0.2018,0.003603571,0.0026,0.0023,0.0033,0.0015,0.0017,0.0024,0.0024,0.0027,0.0021,0.0021,,,,,,,,,,,,,,
22/23,TC,SS_43,SS,Stronvar,A,43,Y,50,32,28,98,14,0.267,0.00272449,,,,,,,,,,,,,,,,,,,,,,,,
22/23,TC,SS_44,SS,Stronvar,A,44,Y,47,37,31,76,18,0.265,0.003486842,,,,,,,,,,,,,,,,,,,,,,,,
22/23,TC,SS_45,SS,Stronvar,A,45,Y,46,30,25,57,9,0.117,0.002052632,,,,,,,,,,,,,,,,,,,,,,,,
22/23,TC,SS_46,SS,Stronvar,A,46,Y,53,36,34,103,14,0.342,0.003320388,,,,,,,,,,,,,,,,,,,,,,,,
22/23,TC,SS_47,SS,Stronvar,A,47,Y,51,31,27,99,3,0.277,0.00279798,,,,,,,,,,,,,,,,,,,,,,,,
22/23,TC,SS_49,SS,Stronvar,A,49,Y,51,30,29,95,32,0.3831,0.004032632,0.0049,0.006,0.0024,0.0056,0.0022,0.0051,0.0051,0.0057,0.0058,0.0055,101,7.2178,0.0715,0.0542,0.0904,0.0981,0.062,0.0675,0.0428,0.1011,0.0889,0.0581,0.0952,
22/23,TC,SS_50,SS,Stronvar,A,50,Y,45,31,30,50,40,0.2045,0.00409,0.0048,0.0047,0.0049,0.005,0.002,0.0052,0.0048,0.0047,0.0044,0.0043,112,4.8819,0.0436,0.0611,0.0823,0.0268,0.0735,0.0683,0.0584,0.096,0.0429,0.0807,0.535,
22/23,TC,SS_51,SS,Stronvar,A,51,Y,48,29,28,61,68,0.3169,0.005195082,0.0061,0.0058,0.0055,0.0066,0.0063,0.0063,0.0056,0.0052,0.0049,0.0059,122,6.656,0.0546,0.1047,0.0177,0.0828,0.0627,0.0353,0.0918,0.1071,0.1033,0.0809,0.0565,
22/23,TC,SS_52,SS,Stronvar,A,52,Y,47,29,28,84,64,0.3286,0.003911905,0.0041,0.0048,0.0015,0.0036,0.0035,0.0035,0.0046,0.0047,0.0044,0.0046,124,5.8167,0.0469,0.0466,0.0344,0.0766,0.0354,0.076,0.0732,0.0366,0.0623,0.0739,0.0489,
22/23,TC,SS_53,SS,Stronvar,A,53,Y,53,31,29,99,69,0.4455,0.0045,0.0047,0.0046,0.0046,0.0048,0.005,0.0019,0.0046,0.005,0.0043,0.0049,130,8.0177,0.0617,0.099,0.1005,0.0619,0.0983,0.0404,0.0835,0.0475,0.062,0.0915,0.0354,
22/23,TC,MS_54,MS,Mid-Dome,C,54,Y,49,23,23,95,29,0.4243,0.004466316,0.0055,0.0041,0.0056,0.0052,0.0043,0.0051,0.0052,0.0061,0.0044,0.0026,89,4.2147,0.0474,0.0712,0.1042,0.0913,0.0529,0.081,0.0723,0.0382,0.0453,0.085,0.0538,
22/23,TC,MS_55,MS,Mid-Dome,C,55,Y,55,24,23,108,43,0.569,0.005268519,0.0068,0.0018,0.0056,0.0051,0.0059,0.0053,0.0064,0.0065,0.0065,0.0057,115,6.3999,0.0557,0.0611,0.0991,0.0642,0.0754,0.0616,0.0502,0.0606,0.0645,0.762,0.0606,
22/23,TC,MS_56,MS,Mid-Dome,C,56,Y,53,24,23,102,46,0.4515,0.004426471,0.0054,0.0053,0.005,0.0057,0.0053,0.0047,0.0051,0.0057,0.0054,0.0059,110,4.8452,0.044,0.0725,0.0752,0.0635,0.028,0.0616,0.0517,0.0657,0.0652,0.0517,0.0607,
22/23,TC,MS_57,MS,Mid-Dome,C,57,Y,45,22,20,84,37,0.3324,0.003957143,0.0042,0.0047,0.0041,0.0045,0.0044,0.0047,0.0049,0.0048,0.0048,0.0049,100,3.8486,0.0385,0.0631,0.0577,0.0528,0.046,0.0576,0.0777,0.074,0.0423,0.0301,0.074,
22/23,TC,MS_58,MS,Mid-Dome,C,58,Y,51,23,22,109,47,0.4208,0.00386055,0.0039,0.0017,0.004,0.0041,0.0048,0.0049,0.0035,0.0041,0.0038,0.0054,123,5.1892,0.0422,0.069,0.0601,0.0487,0.0631,0.0224,0.0615,0.0522,0.046,0.0523,0.0524,
22/23,TC,MS_59,MS,Mid-Dome,C,59,Y,54,24,23,99,55,0.4924,0.004973737,0.005,0.005,0.0051,0.005,0.005,0.005,0.0047,0.0051,0.0011,0.0051,116,6.2043,0.0535,0.0514,0.041,0.0476,0.0778,0.046,0.0771,0.0171,0.0829,0.0297,0.0717,
22/23,TC,MS_60,MS,Mid-Dome,C,60,Y,47,21,21,87,42,0.03955,0.000454598,0.0068,0.0065,0.0069,0.0065,0.0055,0.0068,0.0068,0.0058,0.0028,0.0069,89,3.7633,0.0423,0.027,0.0457,0.0706,0.0536,0.0681,0.0489,0.0401,0.0585,0.0744,0.0644,
22/23,TC,MS_61,MS,Mid-Dome,C,61,Y,50,22,22,88,34,0.4509,0.005123864,0.0046,0.0054,0.0054,0.0017,0.0058,0.0055,0.0046,0.0057,0.004,0.0056,100,5.0371,0.0504,0.07,0.0654,0.0789,0.0978,0.046,0.0871,0.0558,0.0524,0.0699,0.0338,
22/23,TC,MS_62,MS,Mid-Dome,C,62,Y,47,22,22,84,32,0.2904,0.003457143,0.0048,0.0047,0.0017,0.0016,0.004,0.0039,0.0037,0.0033,0.004,0.0013,96,4.3127,0.0449,0.0537,0.0574,0.0401,0.0756,0.0497,0.0626,0.0833,0.0691,0.0551,,
22/23,TC,MS_63,MS,Mid-Dome,C,63,Y,43,20,21,78,43,0.3011,0.003860256,0.004,0.0047,0.0017,0.0051,0.0042,0.0038,0.0046,0.005,0.0042,0.0045,94,3.7714,0.0401,0.0563,0.0721,0.0675,0.0911,0.0497,0.0547,0.0495,0.0775,0.0528,0.0473,
22/23,TC,MS_64,MS,Mid-Dome,C,64,Y,48,24,22,95,43,0.3468,0.003650526,0.0039,0.0035,0.0046,0.0018,0.0012,0.005,0.0034,0.0046,0.0037,0.0048,97,4.7248,0.0487,0.0505,0.0607,0.0446,0.0906,0.0919,0.0329,0.0685,0.0765,0.0855,0.0755,
22/23,TC,MS_65,MS,Mid-Dome,C,65,Y,43,21,20,88,38,0.3211,0.003648864,0.0041,0.0034,0.003,0.0039,0.0039,0.0037,0.0031,0.0042,0.0041,0.0048,92,3.5036,0.0381,0.0377,0.045,0.0405,0.0274,0.0577,0.046,0.0794,0.0088,0.0405,0.0681,
22/23,TC,MS_66,MS,Mid-Dome,C,66,Y,39,21,22,73,45,0.2352,0.003221918,0.0044,0.0046,0.0039,0.0049,0.0044,0.0048,0.005,0.0046,0.0046,0.0042,94,3.4074,0.0362,0.0496,0.0616,0.0591,0.0203,0.0419,0.0505,0.0146,0.0603,0.0503,0.0333,
22/23,TC,MS_67,MS,Mid-Dome,C,67,Y,43,20,20,96,31,0.2814,0.00293125,0.0033,0.0037,0.0039,0.0037,0.0039,0.0037,0.0033,0.0035,0.0035,0.0031,95,3.252,0.0342,0.0603,0.0395,0.0359,0.0393,0.0394,0.0463,0.0115,0.0473,0.0534,0.0601,
22/23,TC,MS_68,MS,Mid-Dome,C,68,Y,44,21,19,66,32,0.2829,0.004286364,0.0049,0.0052,0.0052,0.0056,0.0046,0.0047,0.0052,0.0055,0.0049,0.0045,83,3.7007,0.0446,0.0632,0.0788,0.0402,0.0712,0.0479,0.0461,0.0714,0.0774,0.0542,0.0966,
22/23,TC,MS_69,MS,Mid-Dome,C,69,Y,45,23,21,73,34,0.2943,0.004031507,0.0037,0.0057,0.0045,0.0059,0.0048,0.0054,0.0051,0.0052,0.0047,0.0053,101,4.7084,0.0466,0.0712,0.0507,0.0345,0.0755,0.0689,0.0483,0.0792,0.0756,0.0659,0.062,
22/23,TC,MS_70,MS,Mid-Dome,C,70,Y,41,21,21,67,27,0.2753,0.004108955,0.0038,0.0029,0.0041,0.0034,0.0037,0.0032,0.0032,0.0035,0.0029,0.0034,119,3.8699,0.0325,0.0665,0.0545,0.0509,0.0533,0.0693,0.0563,0.06,0.0674,0.0358,0.0515,
22/23,TC,MS_71,MS,Mid-Dome,C,71,Y,41,21,21,64,37,0.2785,0.004351563,0.0062,0.006,0.003,0.0061,0.0055,0.0068,0.0059,0.0058,0.0065,0.0065,89,3.921,0.0441,0.0522,0.0476,0.0649,0.0609,0.0289,0.0516,0.0163,0.0612,0.0491,0.0354,
22/23,TC,SS_72,SS,Stronvar,A,72,Y,59,23,25,81,1,0.4373,0.005398765,0.0043,0.0063,0.0062,0.0017,0.0051,0.0052,0.005,0.0043,0.0056,0.0055,104,7.2496,0.0697,0.0754,0.087,0.0548,0.0733,0.0787,0.0461,0.0959,0.0748,0.0771,0.0619,
22/23,TC,SS_73,SS,Stronvar,A,73,Y,58,26,26,101,73,0.641,0.006346535,0.0063,0.0054,0.0065,0.0068,0.0067,0.007,0.0066,0.0068,0.0023,0.007,125,10.1641,0.0813,0.1255,0.0475,0.041,0.1121,0.092,0.117,0.0842,0.0647,0.131,0.1344,
22/23,TC,SS_74,SS,Stronvar,A,74,Y,60,23,24,100,76,0.4025,0.004025,0.005,0.0056,0.0019,0.0056,0.006,0.0049,0.0056,0.0062,0.0016,0.0043,234,7.7889,0.0333,0.0905,0.0796,0.0711,0.0713,0.0983,0.1068,0.0984,0.0481,0.0744,0.0972,
22/23,TC,SS_75,SS,Stronvar,A,75,Y,55,23,24,84,42,0.3751,0.004465476,0.0048,0.0049,0.0045,0.0049,0.0039,0.0016,0.001,0.004,0.005,0.0047,116,8.1193,0.07,0.1108,0.1208,0.0507,0.1092,0.128,0.0764,0.0884,0.1006,0.1119,0.0977,
22/23,TC,SS_76,SS,Stronvar,A,76,Y,48,23,23,82,56,0.335,0.004085366,0.0033,0.0043,0.0041,0.0038,0.0037,0.0043,0.0039,0.004,0.0009,0.0042,107,7.0044,0.0655,0.0148,0.0696,0.0393,0.0298,0.014,0.0872,0.0628,0.0919,0.0668,0.0878,
22/23,TC,SS_77,SS,Stronvar,A,77,Y,52,24,24,43,3,0.2035,0.004732558,0.0067,0.0049,0.0055,0.006,0.0063,0.0017,0.0059,0.0064,0.0052,0.0054,115,7.6411,0.0664,0.1163,0.0352,0.0453,0.0583,0.09,0.0672,0.0735,0.0887,0.064,0.0534,
22/23,TC,SS_78,SS,Stronvar,A,78,Y,52,24,23,72,1,0.3316,0.004605556,0.005,0.004,0.0048,0.0054,0.0051,0.0049,0.0045,0.0047,0.004,0.0043,104,7.2496,0.0697,0.0754,0.087,0.0548,0.0733,0.0787,0.0461,0.0959,0.0748,0.0771,0.0619,
22/23,TC,SS_79,SS,Stronvar,A,79,Y,56,22,22,75,60,0.3018,0.004024,0.0042,0.0046,0.0039,0.0043,0.0041,0.0045,0.0045,0.0048,0.0051,0.0014,135,6.2916,0.0466,0.0815,0.053,0.0621,0.0544,0.0522,0.0601,0.0682,0.0339,0.0482,0.0484,
22/23,TC,SS_80,SS,Stronvar,A,80,Y,44,22,22,46,2,0.2336,0.005078261,0.0059,0.0055,0.0073,0.0013,0.0057,0.0061,0.0055,0.0058,0.0052,0.0009,75,5.8238,0.0777,0.1066,0.0945,0.112,0.0936,0.1092,0.1006,0.0929,0.0948,0.051,0.074,
22/23,TC,SS_81,SS,Stronvar,A,81,Y,46,19,19,74,28,0.2254,0.003045946,0.0034,0.0011,0.0037,0.0036,0.0033,0.0044,0.0042,0.0036,0.0008,0.0033,108,4,0.036,0.0192,0.0716,0.0534,0.0426,0.0522,0.0427,0.0124,0.0681,0.0578,0.0451,
22/23,TC,SS_82,SS,Stronvar,A,82,Y,43,21,22,54,37,0.2072,0.003837037,0.0016,0.0038,0.0042,0.0047,0.0051,0.0045,0.0042,0.0051,0.0042,0.0016,89,4.7492,0.0534,0.0583,0.0898,0.0318,0.053,0.0947,0.059,0.0877,0.0572,0.0701,0.0652,
22/23,TC,SS_83,SS,Stronvar,A,83,Y,42,19,17,61,22,0.1906,0.00312459,0.0047,0.0009,0.0039,0.0036,0.001,0.0034,0.003,0.0037,0.0042,0.0036,86,3.4241,0.0398,0.0427,0.0237,0.052,0.0522,0.0498,0.0467,0.0657,0.0527,0.0539,0.0615,
22/23,TC,MS_100,MS,Mid-Dome,C,100,Y,57,26,25,119,61,0.4878,0.00409916,0.0049,0.0053,0.0051,0.0053,0.0048,0.0055,0.0051,0.0043,0.0048,0.0055,139,6.5126,0.0469,0.0442,0.0516,0.0544,0.0672,0.0527,0.0226,0.0512,0.0813,0.0446,0.0542,
22/23,TC,SS_101,SS,Stronvar,A,101,Y,57.8,26.08,26.46,78,3,0.3725,0.004775641,0.0052,0.006,0.0055,0.0048,0.0042,0.0041,0.0045,0.0056,0.0047,0.0049,115,8.4213,0.0732,0.1131,0.1113,0.0713,0.054,0.0755,0.1083,0.0865,0.0295,0.0474,0.0365,
22/23,TC,SS_102,SS,Stronvar,A,102,Y,49.34,24.7,24.83,89,42,0.3575,0.004016854,0.0053,0.0046,0.0016,0.0053,0.0013,0.0018,0.0052,0.0048,0.0045,0.0015,85,4.4185,0.052,0.0501,0.0479,0.0342,0.0891,0.0191,0.0725,0.0692,0.0426,0.0764,0.0281,
22/23,TC,SS_103,SS,Stronvar,A,103,Y,49.73,31.75,27.99,100,22,0.4435,0.004435,0.0053,0.0054,0.0021,0.0055,0.0017,0.0052,0.005,0.0043,0.0012,0.0041,121,8.5533,0.0707,0.106,0.0763,0.1135,0.0618,0.0833,0.0295,0.0584,0.0412,0.1367,0.1271,
22/23,TC,SS_104,SS,Stronvar,A,104,Y,46.56,36.94,31.42,78,25,0.3535,0.004532051,0.0056,0.0058,0.0058,0.0054,0.005,0.0048,0.0048,0.005,0.0049,0.0057,96,7.1581,0.0746,0.0587,0.1015,0.0582,0.0749,0.0421,0.0491,0.0915,0.1196,0.0824,0.0844,
22/23,TC,SS_105,SS,Stronvar,A,105,Y,46.17,29.96,24.56,56,7,0.3124,0.005578571,0.0062,0.0051,0.0055,0.0057,0.0058,0.0056,0.0055,0.0056,0.0017,0.0018,99,6.5652,0.0663,0.0111,0.0577,0.0109,0.0602,0.0909,0.0298,0.0962,0.0675,0.1092,0.102,
22/23,TC,SS_106,SS,Stronvar,A,106,Y,53.3,35.57,33.74,103,25,0.5619,0.00545534,0.008,0.0077,0.0081,0.0071,0.0082,0.0087,0.009,0.0065,0.009,0.0096,129,9.9887,0.0774,0.1168,0.1282,0.128,0.0804,0.0687,0.1312,0.1247,0.1141,0.0759,0.1155,
22/23,TC,SS_107,SS,Stronvar,A,107,Y,50.66,31.19,27.45,98,0,0.5084,0.005187755,0.0022,0.0061,0.0054,0.0065,0.0055,0.0058,0.0042,0.0056,0.0044,0.0047,86,4.3549,0.0506,0.0756,0.0841,0.0106,0.0107,0.045,0.403,0.0837,0.0438,0.0528,0.073,
23/24,TC,MS27_108,MS27,Mid-Dome,D,108,Y,,,,47,28,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS27_109,MS27,Mid-Dome,D,109,Y,,,,48,15,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS27_110,MS27,Mid-Dome,D,110,Y,,,,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS25_111,MS25,Mid-Dome,D,111,Y,,,,69,8,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS25_112,MS25,Mid-Dome,D,112,Y,,,,59,9,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS28_113,MS28,Mid-Dome,D,113,Y,,,,68,5,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS28_114,MS28,Mid-Dome,D,114,Y,,,,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS30_115,MS30,Mid-Dome,D,115,Y,,,,71,11,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS30_116,MS30,Mid-Dome,D,116,Y,,,,74,6,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS29_117,MS29,Mid-Dome,D,117,Y,,,,96,12,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS26_118,MS26,Mid-Dome,C,118,Y,,,,67,7,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS26_119,MS26,Mid-Dome,C,119,Y,,,,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS26_120,MS26,Mid-Dome,C,120,Y,,,,47,5,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS26_121,MS26,Mid-Dome,C,121,Y,,,,70,7,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS26_122,MS26,Mid-Dome,C,122,Y,,,,68,4,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS26_123,MS26,Mid-Dome,C,123,Y,,,,60,7,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS31_124,MS31,Mid-Dome,D,124,Y,,,,67,8,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_125,HS32,Hanmer,D,125,Y,,,,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_126,HS33,Hanmer,D,126,Y,,,,53,4,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_127,HS33,Hanmer,D,127,Y,,,,93,5,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_128,HS33,Hanmer,D,128,Y,,,,57,3,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_129,HS33,Hanmer,D,129,Y,,,,64,2,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_130,HS32,Hanmer,D,130,Y,,,,72,5,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_131,HS32,Hanmer,D,131,Y,,,,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_132,HS32,Hanmer,D,132,Y,,,,53,4,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_133,HS33,Hanmer,D,133,Y,,,,102,7,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS26_134,MS26,Mid-Dome,C,134,Y,,,,66,5,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,MS26_135,MS26,Mid-Dome,C,135,Y,,,,72,2,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_136,HS32,Hanmer,D,136,Y,,,,29,4,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_137,HS33,Hanmer,D,137,Y,,,,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_138,HS33,Hanmer,D,138,Y,,,,79,4,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_139,HS33,Hanmer,D,139,Y,,,,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_140,HS33,Hanmer,D,140,Y,,,,55,3,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_141,HS33,Hanmer,D,141,Y,,,,59,2,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_142,HS33,Hanmer,D,142,Y,,,,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_143,HS32,Hanmer,D,143,Y,,,,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_144,HS32,Hanmer,D,144,Y,,,,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_145,HS33,Hanmer,D,145,Y,,,,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_146,HS32,Hanmer,D,146,Y,,,,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_147,HS33,Hanmer,D,147,Y,,,,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_148,HS32,Hanmer,D,148,Y,,,,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_149,HS32,Hanmer,D,149,Y,,,,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_150,HS32,Hanmer,D,150,Y,,,,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_151,HS32,Hanmer,D,151,Y,,,,70,5,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_152,HS32,Hanmer,D,152,Y,,,,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_153,HS33,Hanmer,D,153,Y,,,,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_154,HS33,Hanmer,D,154,Y,,,,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS32_155,HS32,Hanmer,D,155,Y,,,,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_156,HS33,Hanmer,D,156,Y,,,,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_157,HS33,Hanmer,D,157,Y,,,,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_158,HS33,Hanmer,D,158,Y,,,,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_159,HS33,Hanmer,D,159,Y,,,,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23/24,TC,HS33_160,HS33,Hanmer,D,160,Y,,,,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,
