year,collector_id,full_id,full_tree,site,Population,cone_id,serot,cone_length_mm,cone_x,cone_y,no_filled,no_unfilled,tot_seed_wgt_g,mism_g,seed_1_g,seed_2_g,seed_3_g,seed_4_g,seed_5_g,seed_6_g,seed_7_g,seed_8_g,seed_9_g,seed_10_g,no_scal,tot_scale_wt_g,mibm_g,scale_1_g,scale_2_g,scale_3_g,scale_4_g,scale_5_g,scale_6_g,scale_7_g,scale_8_g,scale_9_g,scale_10_g,no_immature
21/22,MS,H1D,H1,Hanmer,A,D,N,45,,,82,,0.3074,0.00374878,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H1E,H1,Hanmer,A,E,N,47,,,56,,0.1791,0.003198214,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H2A,H2,Hanmer,A,A,N,43,,,57,,0.288,0.005052632,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H2B,H2,Hanmer,A,B,N,43,,,55,,0.2457,0.004467273,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H2C,H2,Hanmer,A,C,N,41,,,27,,0.3216,0.011911111,,,,,,,,,,,,,,,,,,,,,,,,>50
21/22,MS,H2D,H2,Hanmer,A,D,N,38,,,57,,0.2631,0.004615789,,,,,,,,,,,,,,,,,,,,,,,,16
21/22,MS,H2E,H2,Hanmer,A,E,N,36,,,23,,0.1021,0.00443913,,,,,,,,,,,,,,,,,,,,,,,,50
21/22,MS,H3A,H3,Hanmer,A,A,N,36,,,44,,0.1752,0.003981818,,,,,,,,,,,,,,,,,,,,,,,,7
21/22,MS,H3B,H3,Hanmer,A,B,N,36,,,43,,0.1187,0.002760465,,,,,,,,,,,,,,,,,,,,,,,,8
21/22,MS,H3C,H3,Hanmer,A,C,N,38,,,53,,0.1758,0.003316981,,,,,,,,,,,,,,,,,,,,,,,,6
21/22,MS,H3D,H3,Hanmer,A,D,N,35,,,54,,0.2383,0.004412963,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H3E,H3,Hanmer,A,E,N,39,,,62,,0.1796,0.002896774,,,,,,,,,,,,,,,,,,,,,,,,9
21/22,MS,H4A,H4,Hanmer,A,A,N,46,,,137,,0.6094,0.004448175,,,,,,,,,,,,,,,,,,,,,,,,50
21/22,MS,H4B,H4,Hanmer,A,B,N,43,,,95,,0.3922,0.004128421,,,,,,,,,,,,,,,,,,,,,,,,5
21/22,MS,H4C,H4,Hanmer,A,C,N,41,,,100,,0.4249,0.004249,,,,,,,,,,,,,,,,,,,,,,,,35
21/22,MS,H4D,H4,Hanmer,A,D,N,46,,,125,,0.5414,0.0043312,,,,,,,,,,,,,,,,,,,,,,,,50
21/22,MS,H4E,H4,Hanmer,A,E,N,43,,,120,,0.4498,0.003748333,,,,,,,,,,,,,,,,,,,,,,,,34
21/22,MS,H5A,H5,Hanmer,A,A,N,54,,,82,,0.5264,0.006419512,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H5B,H5,Hanmer,A,B,N,49,,,84,,0.4214,0.005016667,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H5C,H5,Hanmer,A,C,N,55,,,113,,0.5951,0.005266372,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H5D,H5,Hanmer,A,D,N,51,,,46,,0.4478,0.009734783,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H5E,H5,Hanmer,A,E,N,46,,,80,,0.414,0.005175,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H6A,H6,Hanmer,A,A,N,42,,,60,,0.3039,0.005065,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H6B,H6,Hanmer,A,B,N,45,,,82,,0.4239,0.005169512,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H6C,H6,Hanmer,A,C,N,42,,,63,,0.3234,0.005133333,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H6D,H6,Hanmer,A,D,N,39,,,65,,0.3519,0.005413846,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H6E,H6,Hanmer,A,E,N,41,,,62,,0.3076,0.00496129,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H7A,H7,Hanmer,A,A,N,42,,,51,,0.2563,0.00502549,,,,,,,,,,,,,,,,,,,,,,,,50
21/22,MS,H7B,H7,Hanmer,A,B,N,44,,,43,,0.1626,0.003781395,,,,,,,,,,,,,,,,,,,,,,,,48
21/22,MS,H7C,H7,Hanmer,A,C,N,37,,,33,,0.1825,0.005530303,,,,,,,,,,,,,,,,,,,,,,,,46
21/22,MS,H7D,H7,Hanmer,A,D,N,35,,,34,,0.1687,0.004961765,,,,,,,,,,,,,,,,,,,,,,,,41
21/22,MS,H7E,H7,Hanmer,A,E,N,41,,,52,,0.2357,0.004532692,,,,,,,,,,,,,,,,,,,,,,,,52
21/22,MS,H8A,H8,Hanmer,A,A,N,39,,,65,,0.2757,0.004241538,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H8B,H8,Hanmer,A,B,N,36,,,55,,0.1782,0.00324,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H8C,H8,Hanmer,A,C,N,36,,,56,,0.2206,0.003939286,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H8D,H8,Hanmer,A,D,N,31,,,33,,0.1296,0.003927273,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H8E,H8,Hanmer,A,E,N,36,,,57,,0.1921,0.003370175,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H9A,H9,Hanmer,A,A,N,40,,,71,,0.3505,0.00493662,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H9B,H9,Hanmer,A,B,N,37,,,62,,0.3335,0.005379032,,,,,,,,,,,,,,,,,,,,,,,,8
21/22,MS,H9C,H9,Hanmer,A,C,N,37,,,62,,0.2986,0.004816129,,,,,,,,,,,,,,,,,,,,,,,,2
21/22,MS,H9D,H9,Hanmer,A,D,N,43,,,74,,0.3483,0.004706757,,,,,,,,,,,,,,,,,,,,,,,,3
21/22,MS,H9E,H9,Hanmer,A,E,N,40,,,77,,0.3496,0.00454026,,,,,,,,,,,,,,,,,,,,,,,,7
21/22,MS,H10A,H10,Hanmer,A,A,N,42,,,99,,0.3846,0.003884848,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H10B,H10,Hanmer,A,B,N,38,,,96,,0.2737,0.002851042,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H10C,H10,Hanmer,A,C,N,45,,,122,,0.4369,0.003581148,,,,,,,,,,,,,,,,,,,,,,,,
