Location,murrayana,lat,lon,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9,ref10,ref11,ref12,ref13,ref14,ref15,Comments,,"""Georgia Seed Crop Reports"" Key",,,
Naseby,yes,-45.02578183,170.1456008,https://scion.contentdm.oclc.org/digital/collection/p20044coll6/id/184/,https://scion-portal.elsevierpure.com/en/publications/comparison-of-height-growth-of-pinus-muricata-provenances-with-p-,https://scion-portal.elsevierpure.com/en/publications/provenance-variation-in-pinus-contorta-coastal-origins-12-year-re,https://scion-portal.elsevierpure.com/en/publications/a-pilot-study-in-cone-and-seed-production-in-pinus-contorta,https://www.scionresearch.com/__data/assets/pdf_file/0007/58669/NZJFS311973HARRIS91-109.pdf,shelbourn 2019,Thulin + Miller 1966,Miller 1971 6 year old,Mohrdiek + Miller 1980,Allen & Lee 1989,,,,,,,,,,,
Tara Hills (Omarama),yes,-44.53339,169.92757,https://scion.contentdm.oclc.org/digital/collection/p20044coll6/id/184/,https://scion-portal.elsevierpure.com/en/publications/assessment-of-pinus-contorta-provenance-trials-at-tara-hills-1976,"Miller,JT. (1971) Assessment of 11 vigorous provenances of Pinus contorta 10 years after planting, Forest Research Institute.",https://www.nzgajournal.org.nz/index.php/JoNZG/article/view/358/21,Shelbourne 2019,Thulin + Miller 1966,Miller 1971 6 year old,,,,,,,,,"Hybrids are both con/lat and con/murr. Con x con from Oregon, Washington, Waiotapu strain, Kaingaroa strain; bolanderi from california; murrayana from oregon; latifolia from robbins range (kamloops)","(old tara hills coords are -45.8131481068069, 170.348225631979)",,,,
Rankleburn,yes,-46.00658021,169.3891929,https://scion-portal.elsevierpure.com/en/publications/a-pilot-study-in-cone-and-seed-production-in-pinus-contorta,Shelbourne 2019,Thulin + Miller 1966,Miller 1971 6 year old,,,,,,,,,,,,"con x lat, con x murray, murray x lat",,,,,
Hanmer,yes,-42.46791084,172.8939231,https://scion-portal.elsevierpure.com/en/publications/a-pilot-study-in-cone-and-seed-production-in-pinus-contorta,https://scion-portal.elsevierpure.com/en/publications/comparison-of-height-growth-of-pinus-muricata-provenances-with-p-,"Miller,JT. (1971) Assessment of 11 vigorous provenances of Pinus contorta 10 years after planting, Forest Research Institute.",Shelbourne 2019,Thulin + Miller 1966,Miller 1971 6 year old,,,,,,,,,,"Hybrids are both con/lat and con/murr + lat/murr. Con x con from Oregon, Washington, Waiotapu strain, Kaingaroa strain; bolanderi from california; murrayana from oregon; latifolia from robbins range (kamloops)",,,,,
Hut Creek (Craigieburn),yes,-43.15131346,171.7142338,"Ledgard, N. J., & Baker, G. C. (1988). Mountainland forestry 30 years' research in the Craigieburn Range, New Zealand. FRI bulletin-Forest Research Institute, New Zealand Forest Service.","Ledgard, NJ., Paul, TSH. (2008) Vegetation successions over 30 years of high country grassland invasion by Pinus contorta. New Zealand Plant Protection, 61. 98-104","Benecke & Baker (1968) To evalutate performance of autumn planting compared to spring planting, New Zealand Forest Service, Register Sheet for Sample Plots and Experimental Areas [unpublished data]",https://scion-portal.elsevierpure.com/en/publications/tree-provenance-trials,,,,,,,,,,,,,,,,,
Helicopter Hill,yes,-43.14551112,171.7355923,"Ledgard, N. J., & Baker, G. C. (1988). Mountainland forestry 30 years' research in the Craigieburn Range, New Zealand. FRI bulletin-Forest Research Institute, New Zealand Forest Service.","Benecke & Baker (1968) To evalutate performance of autumn planting compared to spring planting, New Zealand Forest Service, Register Sheet for Sample Plots and Experimental Areas [unpublished data]",,,,,,,,,,,,,,,,,,,
Broken River,yes,-43.12790368,171.6906355,"Ledgard, N. J., & Baker, G. C. (1988). Mountainland forestry 30 years' research in the Craigieburn Range, New Zealand. FRI bulletin-Forest Research Institute, New Zealand Forest Service.",,,,,,,,,,,,,,,,,,,,
Craigieburn Valley,yes,-43.11797693,171.7045895,"Ledgard, N. J., & Baker, G. C. (1988). Mountainland forestry 30 years' research in the Craigieburn Range, New Zealand. FRI bulletin-Forest Research Institute, New Zealand Forest Service.",,,,,,,,,,,,,,,,,,,,
Arboretum (Craigieburn),yes,-43.15382431,171.7172512,"Benecke & Baker (1965) Provenance trial mainly of materia which has been selected with reference to results obtained from detailed seedling trials. New Zealand Forest Service, Register Sheet for Sample Plots and Experimental Areas [unpublished data]",,,,,,,,,,,,,,,"11 american provenances planted from california, Oregon, and Karioi.",,,,,
Balmoral,yes,-42.84702949,172.7752784,Seed crop report control plan 14 (1944) Georgia email - murrayana,Seed crop report control plan 14 (1944) Georgia email - murrayana record is 1943,,,,,,,,,,,,,,,,,,,
Crookston,yes,-45.8663158,169.4058286,Seed crop report control plan 14 (1944) Georgia email - murrayana,Seed crop report control plan 14 (1944) Georgia email - murrayana record is 1942 + 1947,,,,,,,,,,,,,,,,,,,
Pebbly Hill Hokonui,yes,-46.22282043,168.6116605,Seed crop report control plan 14 (1944) Georgia email - murrayana record is 1943 + 1947 (Evans author for both),,,,,,,,,,,,,,,,,,,,
Wellington Forest SF97,yes,-41.17438536,174.8962986,Seed crop report control plan 14 (1944) Georgia email - murrayana record is 1943,,,,,,,,,,,,,,,,,,,,
Whakarewarewa,yes,-38.16085832,176.2736757,Seed crop report control plan 14 (1944) Georgia email - murrayana record is 1945,,,,,,,,,,,,,,,,,,,,
Ruahine Range,yes,-39.9999976,176.1008368,Wendelken 1956,,,,,,,,,,,,,,,,,,,,
Fox Peak,yes,-43.8487405,170.3502322,Wendelken 1956,,,,,,,,,,,,,,,,,,,,
Ellesmere,yes,-43.6638943,172.356444,https://paperspast.natlib.govt.nz/newspapers/EG19390512.2.37,,,,,,,,,,,,,,,the year 1939,,,,,
Palmerston North,yes,-40.4092079,175.607047,https://paperspast.natlib.govt.nz/newspapers/MH19000705.2.8,Seed Crop Report 1943,Seed crop report control plan 14 (1944),,,,,,,,,,,,,,,,,,
Ashley Forest,yes,-43.16032629,172.5407158,Seed Crop report 1947 Rodger,,,,,,,,,,,,,,,,,,,,
Esk Forest,yes,-39.26306,176.772638,Shelbourne 2019,Thulin + Miller 1966,Miller 1971 6 year old,,,,,,,,,,,,,"con x lat, murray x lat, con x murrary",,,,,
Gwavas Forest,yes,-39.771534,176.475163,Shelbourne 2019,Thulin + Miller 1966,Miller 1971 6 year old,,,,,,,,,,,,,"con x lat, murray x lat, con x murrary",,,,,
Granville,yes,-42.29891532,171.6130161,Shelbourne 2019,Thulin + Miller 1966,Miller 1971 6 year old,,,,,,,,,,,,,"Location: https://westcoast.recollect.co.nz/nodes/view/29311 con x lat, murray x lat, con x murrary",,,,,
Earnscleugh,yes,-45.24777464,169.3475906,Shelbourne 2019,Thulin + Miller 1966,Miller 1971 6 year old,,,,,,,,,,,,,"con x lat, murray x lat, con x murrary",,,,,
Herbert,yes,-45.24270441,170.7769129,Shelbourne 2019,Thulin + Miller 1966,Miller 1971 6 year old,,,,,,,,,,,,,"con x lat, murray x lat, con x murrary",,,,,
Whaka ,yes,-37.95115378,176.1502753,Shelbourne 2019,Thulin + Miller 1966,Hignett 1971,Miller 1971 6 year old,Seed crop report 1945,,,,,,,,,,,"con x lat, murray x lat, con x murrary",,,,,
