cone_id,tree_id,date_collected,region,longitude,latitude,sprayed,age,years_since_treatment,cone_length,cone_x,cone_y,mature_seed,immature_seed,total_mature_weight,ttc_n,germ_test_n,no_viable,via.,no_germinated,germ.,post_germ_via_n,post_germ_germ.via
55,NA,14/09/2022,Stronvar,173.3996813,-41.72475703,unsprayed,1,NA,49.34,24.7,24.83,89,42,0.3575,89,0,66,74.15730337,NA,NA,NA,NA
56,NA,14/09/2022,Stronvar,173.3996813,-41.72475703,unsprayed,1,NA,49.73,31.75,27.99,100,22,0.4435,100,0,100,100,NA,NA,NA,NA
57,NA,14/09/2022,Stronvar,173.3996813,-41.72475703,unsprayed,1,NA,46.56,36.94,31.42,78,25,0.3535,78,0,66,84.61538462,NA,NA,NA,NA
58,NA,14/09/2022,Stronvar,173.3996813,-41.72475703,unsprayed,1,NA,46.17,29.96,24.56,56,7,0.3124,56,0,50,89.28571429,NA,NA,NA,NA
59,NA,14/09/2022,Stronvar,173.3996813,-41.72475703,unsprayed,1,NA,53.3,35.57,33.74,103,25,0.5619,103,0,85,82.52427184,NA,NA,NA,NA
60,NA,14/09/2022,Stronvar,173.3996813,-41.72475703,unsprayed,1,NA,50.66,31.19,27.45,98,0,0.5084,98,0,88,89.79591837,NA,NA,NA,NA
61,27,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,47,28,NA,47,NA,38,80.85106383,NA,NA,NA,NA
62,27,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,48,15,NA,48,NA,39,81.25,NA,NA,NA,NA
63,27,6/12/2023,Mid Dome,168.5080235,-45.6120335,unsprayed,2,8,NA,NA,NA,20,6,NA,20,NA,18,90,NA,NA,NA,NA
64,25,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,69,8,NA,69,NA,65,94.20289855,NA,NA,NA,NA
65,25,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,59,9,NA,59,NA,49,83.05084746,NA,NA,NA,NA
